,Username,Date,Time,Text,Sentiment
385,PGelsinger,2021-05-12,15:37:33,one of the greatest joys of leadership is seeing those youve mentored rise to positions of impact congratulations raghuraghuram as new vmware ceo and sumit dhawan as president ,5
386,PGelsinger,2021-05-12,15:35:14,im thrilled for vmware raghu as its new ceo and the board for a great selection cheering you on to even greater success and impact ,15
387,PGelsinger,2021-05-11,15:25:15,my intel chip lapel pin functional at least this one used to be and fashionable ,0
388,PGelsinger,2021-05-09,15:54:08,my mother and one of my newest grandsons ,0
389,PGelsinger,2021-05-09,15:53:19,blessings to all the mothers who have shaped us she is clothed with strength and dignity she can laugh at the days to come many women do noble things but you surpass them all proverbs ,5
390,PGelsinger,2021-05-07,22:27:49,been a whirlwind these past weeks finished reading post corona from crisis to opportunity by profgalloway he offers both warning amp hope but im an optimist amp believe its within our power to transform turmoil of the time into recovery that creates opportunity for all ,0
391,PGelsinger,2021-05-05,20:45:10,great day in oregon meeting with technology development teams advancing our idm strategy and touring our or fab expansion w oregongovbrown and mayor stevecallaway ,3
392,PGelsinger,2021-05-04,18:41:49,perfect sentiment gregorymbryant computing is no longer just personal it must be purposeful ,2
395,PGelsinger,2021-05-03,22:16:22,thats why were excited about ramping up our u s manufacturing capabilities with a b investment in our new mexico site ,3
396,PGelsinger,2021-05-03,22:15:59,as shared on minutes only of the worlds semiconductors are manufactured in the us today down from only years ago its critical to increase investment in this on american soil ,2
398,PGelsinger,2021-05-02,23:52:51,thanks for taking the time to tour our arizona fab with me lesleyrstahl so proud to show the amazing work were doing ,8
399,PGelsinger,2021-05-02,15:36:37,my life verse whatever you do work at it with all your heart as working for the lord not for human masters since you know that you will receive an inheritance from the lord as a reward it is the lord christ you are serving colossians ,2
401,PGelsinger,2021-04-29,14:49:25,,0
402,PGelsinger,2021-04-29,14:17:26,the best ideas come together w a diverse set of perspectives making our industry more inclusive will drive innovation that serves all for better ,6
403,PGelsinger,2021-04-28,21:38:38,awesome ,4
404,PGelsinger,2021-04-28,21:37:06,the need to remember balance against the busyness in life ringing very true these days work life balance is the responsibility of both leaders and individuals ,0
405,PGelsinger,2021-04-27,13:32:26,to help fight the devastating amp heart breaking covid surge in india intel is delivering technology amp resources to support critical medical needs for indias citizens and will continue to work w indian authorities amp us govt to provide assistance where its needed most ,1
406,PGelsinger,2021-04-25,16:07:03,this is the message you heard from the beginning we should love one another john ,3
407,PGelsinger,2021-04-23,20:44:17,thanks for having me on today ,2
408,PGelsinger,2021-04-23,20:30:16,thanks for having me on ,2
409,PGelsinger,2021-04-22,22:48:23,always fun to be on madmoneyoncnbc with jimcramer thanks for having me today ,6
410,PGelsinger,2021-04-22,19:52:57,great chatting with antonioneri hpe about the next wave of innovation across networking ai edge amp many ways intel and hpe are building for the future congrats on the launch of your gen plus portfolio ,6
411,PGelsinger,2021-04-22,12:48:09,happy earth day heres to a year that significantly accelerates our progress toward addressing the worlds most critical challenges ,5
412,PGelsinger,2021-04-20,21:52:05,we cant fix the long history of racism in america overnight but we must do what we can to address it and make the world a better place ,-1
413,PGelsinger,2021-04-20,15:22:21,my first intel partner connect what a fantastic event hope you will join us ,7
414,PGelsinger,2021-04-20,00:44:55,so excited for dawnsouthwest to continue her tenure at intel by advancing our d amp i and corporate responsibility programs this is what drives breakthrough innovation and better business ,9
415,PGelsinger,2021-04-19,15:39:32,intels economic impact study shows the scope and scale of our impact and investment throughout all sectors of the us economy were proud to support american jobs and committed to ensuring the us continues to lead in semiconductor manufacturing ,6
416,PGelsinger,2021-04-18,17:16:02, love must be sincere hate what is evil cling to what is good be devoted to one another romans ,5
417,PGelsinger,2021-04-14,23:40:46,as ive said before vmware still has its best days ahead looking forward to seeing it continue to blossom in part due to tremendous partnerships like those with delltech congrats michaeldell amp zane rowe ,7
419,PGelsinger,2021-04-13,16:52:45,how cool is this mobileye and udelve fleets of next gen self driving vehicles will be making last mile deliveries soon mobileye drive commercial solutions for autonomous movement of goods and people is ready for large scale deployment ,2
420,PGelsinger,2021-04-12,22:36:22,,0
421,PGelsinger,2021-04-12,22:36:20,thank you potus secraimondo jakesullivan briandeesenec for the great discussion on how we we can solve chip shortages and create long term jobs via research amp development innovation and education read more of my thoughts in the hill ,5
422,PGelsinger,2021-04-12,16:18:13,great to be on the new cnbctechcheck with jonfortt to discuss investing in semiconductor manufacturing and intel mobileye momentum ,3
423,PGelsinger,2021-04-11,18:10:30,tomorrow i am honored to be meeting with the biden administration to discuss the global chip shortage and how intel is ready to provide chip manufacturing capacity in the us and eu ,0
424,PGelsinger,2021-04-11,14:56:46,for the lord your god is living among you he is a mighty savior he will take delight in you with gladness with his love he will calm all your fears he will rejoice over you with joyful songs zephaniah ,16
425,PGelsinger,2021-04-10,20:02:42,join me tomorrow ,1
