symbol,name,full_name,name_and_type
MEOH,methanex,Methanex Corporation,Methanex Corporation - Common Stock
MERC,mercer international,Mercer International Inc.,Mercer International Inc. - Common Stock
MERU,meru networks,"Meru Networks, Inc.","Meru Networks, Inc. - Common Stock"
METR,metro bancorp,"Metro Bancorp, Inc","Metro Bancorp, Inc - Common Stock"
MFI,microfinancial,MicroFinancial Incorporated,MicroFinancial Incorporated - Common Stock
MFLX,multi,Multi,"Multi-Fineline Electronix, Inc. - Common Stock"
MFNC,mackinac financial,Mackinac Financial Corporation,Mackinac Financial Corporation - Common Stock
MFRI,mfri,"MFRI, Inc.","MFRI, Inc. - Common Stock"
MFRM,mattress firm holding,Mattress Firm Holding Corp.,Mattress Firm Holding Corp. - Common Stock
MFSF,mutualfirst financial,MutualFirst Financial Inc.,MutualFirst Financial Inc. - Common Stock
MGCD,mgc diagnostics,MGC Diagnostics Corporation,MGC Diagnostics Corporation - Common Stock
MGEE,mge energy,MGE Energy Inc.,MGE Energy Inc. - Common Stock
MGI,moneygram international,"Moneygram International, Inc.","Moneygram International, Inc. - Common Stock"
MGIC,magic software enterprises,Magic Software Enterprises Ltd.,Magic Software Enterprises Ltd. - Ordinary Shares
MGLN,magellan health,"Magellan Health, Inc.","Magellan Health, Inc. - Common Stock"
MGNX,macrogenics,"MacroGenics, Inc.","MacroGenics, Inc. - Common Stock"
MGPI,mgp ingredients,"MGP Ingredients, Inc.","MGP Ingredients, Inc. - Common Stock"
MGRC,mcgrath rentcorp,McGrath RentCorp,McGrath RentCorp - Common Stock
MGYR,magyar bancorp,"Magyar Bancorp, Inc.","Magyar Bancorp, Inc. - Common Stock"
MHGC,morgans hotel group,Morgans Hotel Group Co.,Morgans Hotel Group Co. - Common Stock
MHLD,maiden holdings,"Maiden Holdings, Ltd.","Maiden Holdings, Ltd. - Common Stock"
MHLDO,maiden holdings,"Maiden Holdings, Ltd.","Maiden Holdings, Ltd. - 7.25% Mandatory Convertible Preference Shares, Series B"
MICT,micronet enertec technologies,"Micronet Enertec Technologies, Inc.","Micronet Enertec Technologies, Inc. - Common Stock"
MICTW,micronet enertec technologies,"Micronet Enertec Technologies, Inc.","Micronet Enertec Technologies, Inc. - Warrant"
MIDD,the middleby,The Middleby Corporation,The Middleby Corporation - Common Stock
MIFI,novatel wireless,"Novatel Wireless, Inc.","Novatel Wireless, Inc. - Common Stock"
MIK,the michaels companies,"The Michaels Companies, Inc.","The Michaels Companies, Inc. - Common Stock"
MIND,mitcham industries,"Mitcham Industries, Inc.","Mitcham Industries, Inc. - Common Stock"
MINI,mobile mini,"Mobile Mini, Inc.","Mobile Mini, Inc. - Common Stock"
MITK,mitek systems,"Mitek Systems, Inc.","Mitek Systems, Inc. - Common Stock"
MITL,mitel networks,Mitel Networks Corporation,Mitel Networks Corporation - Common Shares
MKSI,mks instruments,"MKS Instruments, Inc.","MKS Instruments, Inc. - Common Stock"
MKTO,marketo,"Marketo, Inc.","Marketo, Inc. - Common Stock"
